category,file_path,role,skills,education
CHEF,data/CHEF/26189601.pdf,LEAD CHEF & FOOD TRUCK MANAGER,"Knowledge of the personal chef/private catering business
Maintain great quality of foodÂ 
Fast and capable of handling large projectsÂ",credentials. I gained extensive exposure and
CHEF,data/CHEF/61322296.pdf,SOUS CHEF,"in the kitchen and dining area.
Created signature main course dishes and a dessert that are on the menu till date.
Reduced order service time by 30%, through effective order and synchronization in implementation of timely prep exercises at the main course
work stations.
Professional","1999
NEW YORK RESTAURANT SCHOOL
 
City
 
, 
State
 
, 
USA
 
Associate of Applied Science
 
: 
Culinary Arts 
GPA: 
GPA: 8
Completed and graduated with a 3.8 GPA in Associates degree to applied science of Culinary Arts.
Held an internship at the New Jersey performing arts center. Newark, N.J."
CHEF,data/CHEF/23591247.pdf,CHEF,"Strong communication skills
Adaptable
Creative
Team player
Accurate money handling
Verbal/written communication
Hard-working
 Inventory control
Sound judgment
Computer-savvy
Calm under pressure
Complex problem solving","High School for Environmental Studies
 
2008
 
High School Diploma
 
City
 
, 
State
Kingsborough Community College
 
Liberal Arts
 
City
 
, 
State
Personal Information
Dedicated Customer Service Representative motivated to maintain customer satisfaction and contribute to company success. Always eager to
learn and achieve new goals and overcome different tasks Core Strengths Sharp problem solver Active listening"
CHEF,data/CHEF/19951766.pdf,TABLE GAMES DEALER,"are not limited to this description, so I'm sure I'll be the perfect fit
for any position available.","High School Diploma
 
: 
August 2012
 
Arkansas City High School
 
ï¼​ 
City
 
, 
State
 
GPA: 
Awarded a certificate and special edition of the Webster's
New College Dictionary by the Kansas Honors Program of the KU Alumni Association for graduating in the top 10% of my class. Presidential
Scholarship January 2012 Awarded Presidential Scholarship to Cowley County Community College for academic excellence.
Presidential Academic Achievement Award, all four years. (2009-2012)
Awarded a certificate and special edition of the Webster's New College Dictionary by the Kansas Honors Program of the KU Alumni
Association for graduating in the top 10% of my class.
Awarded Presidential Scholarship to Cowley County Community College (Jan 2012) for academic excellence.
3.927 GPA
Coursework in Spanish (3 years), Calculus, and Chemistry.
Member of Debate and Forensics Club (2 years)
Some Associates
 
: 
Psychology
 
Cowley County Community College
 
ï¼​ 
City
 
, 
State
3.75 GPA
Coursework in Ethics, Computer Applications, Statistics, Psychology and Developmental Psychology"
CHEF,data/CHEF/47729453.pdf,HEAD CHEF,"blueprints, Budget, Closing, Cooking, credit, debit, dimensions, Training employees, health and safety standards, Hiring, inventory, machinist,
mechanical, mechanic, next, painting, peak, power tools, Purchasing, quality, Safety, soldering, time management, welder, welding","2012
Culinary Arts
 
Orange Coast College
 
- 
City
 
, 
State
 
Culinary Arts
2009
Bachelors
 
: 
Culinary Arts and Hospitality
 
The International Cooking Schools of the Art Institute
 
- 
City
 
, 
State
 
Culinary Arts and Hospitality
Concepts and Theory; Safety and Sanitation; Introduction to Cooking; Purchasing and Product Identification; Nutrition; American Regional
Cuisine; Garde Manger; Classical European Cuisine; Introduction to Pastry; Menu Management"
CHEF,data/CHEF/11432686.pdf,CATEGORY BRAND MANAGER,"SharePoint 
BPC and SAP 
Microsoft Suite: 
Word, Excel, PowerPoint, 
Microsoft Access 
Microsoft Project 
Microsoft Dynamics
Seminars/Classes: 
Social Media Marketing 
Facebook for Business 
Project Management 
Profitability Simulation 
Nielsen Syndicated Data Analysis
Power Presentations 
Technical Writing","and Training
Six Sigma Green Belt Training, Chicago Deming Assoc.-Six Sigma Masters Program, Naperville, IL,
 
2012
Graduate Level Courses, Marketing, Illinois Institute of Technology, Chicago, IL,
 
1997
B.A
 
, 
Organizational/Corporate Communications Journalism
 
1992
 
Northern IL University
 
ï¼​ 
City
 
, 
State
 
Organizational/Corporate
Communications Journalism American Management Association, 2016 and 2017; Communicating Up, Down and Across the Organization;
Critical Thinking; Fundamental Sales Techniques, Project Management Success, The Power of Persuasion"
CHEF,data/CHEF/30337969.pdf,"OWNER, PERSONAL CHEF","through active participation in Communication in Organization and Human Resource
Management courses
 
GPA: 
GPA: 6.8/8.0
 
GPA: 6.8/8.0
Bachelor of Science
 
: 
Biology
 
, 
May 1999
 
Wayne State University
 
ï¼​ 
City
 
, 
State
 
Biology Gained knowledge of healthcare topics through courses
in Physiology, Chemistry, Microbiology, Genetics and Neurobiology","Master of Business Administration
 
: 
May 2003
 
University of Michigan
 
ï¼​ 
City
 
, 
State
Gained knowledge of marketing and sales principles through courses in Marketing Management, Principles of Finance and Strategic Management
courses *Strengthened communication and persuasive"
CHEF,data/CHEF/23841877.pdf,BISTRO CHEF,Computer,"al Background
Diploma
 
: 
Cosmetology, Photography
 
1990
 
SZ Delfter Str.
 
City
 
, 
State
 
, 
Germany
Diploma
 
: 
Biology, Mythology, Computer Science
 
1987
 
SZ Hermannsburg
 
City
 
, 
State
 
, 
Germany
High School Diploma
 
1986
 
SZ Hermannsburg
 
City
 
, 
State
 
, 
Germany
Associate of Arts
 
: 
Arts, Archeology
 
KCTCS
 
City
 
, 
State
 
, 
United States of America"
CHEF,data/CHEF/21611637.pdf,STORE CHEF,"Concept creation and menu enhancement incorporating trending foods
and flavors resulting in 15% up to 20% average annual sales increase across all venues Development and execution of standards and procedures
resulting in improved labor performance and decreased labor cost of 4% annually and 20% over 5 year period","for kitchen staff out lining events, live cooking demonstrations.
Pairing events and upscale private catering functions for Doctor and Executive broad Culinary nutrition consultant for health improvement
results for all Patient and staff.
Successful design and implementation of menu, that promotes conscious cuisine standards, in culinary.
Help development nutritional standards all food outlets.
High positive guest feedback surveys and 65% sales increase over 5-year period.
Implemented purchasing protocol and procedures, resulting in securing competitive pricing from purveyors.
Aggressively fought waste and promoted cross-utilization to consistently maintain food cost below budget of 27% by 1 - 2.5 percentage
points.
Positive write-ups from Kindred Magazine 
and Tucson 
newspapers 
for Outstanding, clean kitchen outlets by, Arizona health department.
Development, and enforcement of Standards and Procedures Handbook for service and production, resulting in consistent standard task
execution by team members and 20% reduction of labor costs over 5-year period since implementing program.Budget development with financial benchmarking"
CHEF,data/CHEF/13411858.pdf,PAMPERED CHEF,". Â 
 I regularly train team members in person or virtually to
become a marketing, selling, recruiting, and product-line expert!Â 
 
I have extensive","1992
Bachelor of Arts
 
: 
Athletic Training/Sports Medicine
 
San Diego State University
 
ï¼​ 
City
 
, 
State
 
, 
USA
Athletic Training/Sports Medicine
San Diego State - San Diego, CA, San Diego I completed a 5-year internship working with the university's athletes and graduated with
outstanding grades in the field of Sports Medicine and Athletic Training. Â 
1990
General Education
 
Grossmont College
 
ï¼​ 
City
 
, 
State
 
, 
USA
1989
Fire Science/Emergency Medical Technician (EMT)
 
Miramar Community College
 
ï¼​ 
City
 
, 
State
 
, 
USA
 
Living in a rural community, residents
were dependent on our volunteer fire department for all medical and fire emergencies until other paid departments could arrive. After watching my
grandmother pass away because no one in our family was capable of providing CPR, I realized I needed to step up and joined our local Volunteer
Fire Department. I completed EMT training at Miramar College, and then a 12-week National Fire Academy, where I was one of only 4 womento pass. Â It was truly the most physically challenging endeavor I've ever completed, but certainly one I am incredibly proud of! Â I served as a
volunteer Firefighter/EMT on the San Diego Rural Fire Department for 4 years."
CHEF,data/CHEF/12717345.pdf,EXECUTIVE CHEF,"Strong time management skills
Works well as a part of a team
Energetic, friendly and enthusiastic","2004
Associate of Arts
 
: 
Culinary Arts
 
Southern Maine Community College
 
ï¼​ 
City
 
, 
State
Culinary Arts"
CHEF,data/CHEF/31547476.pdf,ADMINISTRATIVE ASSISTANT,", and knowledge.
* Over 1.5 years as an assistant in the medical field.
* Over 6 years in customer service and sales.
* Medical Billing and Coding Associates Degree completed in December 2012.
Skill","Cowley County Community College
 
Associates of Applied Science
 
: 
Medical Billing and Coding
 
City
 
, 
State
 
Medical Billing and Coding
Medical Office Support--College Certificate
Cowley County Community College
 
High School Diploma
 
City
 
, 
State
Stillwater High School
 
City
 
, 
State
Certifications
Certified Paraoptometric (expires 11/2012) 
Safety Training includes: HazCom, Bloodborne Pathogens and Lifting"
CHEF,data/CHEF/32605413.pdf,OPERATIONAL CHEF,". Action-oriented with strong ability to communicate effectively with technology, executive, and
business audiences. 
Talented 
[job title]
 
with a strong background in 
[area]
 . Portfolio available at 
[URL]
 .
[Job Title]
 
with background as 
[Job Title 1]
 
and 
[Job Title 2]
 
looking to join a growing entrepreneurial organization as part of the Executive team. 
Core Qualifications
Results-oriented
Operations management
Client-focused
Excel in 
[areas of expertise]
Financial records and processing
Contract negotiation/review/drafting
Proficiency in 
[area]
Quick learner
Computer proficient
Reports generation and analysis
Contract auditing
Training and development
Change management
Change management
Personal Information
Place of Birth: Sheffield, UK
Date of Birth: 3rd of September, 1970
Present Resident in Berlin, Germany
Sex: Female
Status: Married with 1 child (age 4)
Hobbies: International Travel, Hiking, Tennis",", life, and combat"
CHEF,data/CHEF/15261348.pdf,CHEF AND RESTAURANT MANAGER,"Account Management
Project Management
Computer Proficient","Associate of Arts
 
:
 
Specalized Culinary Techonolgy
 
2002
 
Pennsylvania Culinary Institute 
, 
City
 
, 
State
 
, 
USA
AttendanceÂ Achievement Award
Top 
10
 % of class
Bachelor of Science
 
:
 
Business
 
98
 
Salem International
 
, 
City
 
, 
State
 
, 
USA
 
Business"
CHEF,data/CHEF/11444536.pdf,CO-OWNER/EXECUTIVE CHEF,"that discover untapped profits and elusive
resources.
Summary of Skills
Operations Streamlining
Strategic planning
Forecasting
Process developmentÂ 
Product management
Budget ManagementÂ 
Â  Customer Service
Client Relations
Vendor AdministrationÂ 
Vendor Negotiations
Account Management
Creative Problem SolvingÂ","Bachelor of Arts
 
: 
Culinary Management
 
September, 2012
 
LE CORDON BLEU COLLEGE OF CULINARY ARTS
 
City
 
, 
State
 
Culinary
Management"
CHEF,data/CHEF/10653119.pdf,EXECUTIVE CHEF /CHEF MANAGER,"Hands on knowledge of all phases of food preparation from casual to fine dining and catering
Food & Labor Cost ControlBanquet and catering menu planning, development, and service
Recipe development and standardization
Gluten Free food preparation
Certified Food Safety Manager
Food procurement, inventory and inventory control
Knowledge of P & L accountability
Kitchen equipment maintenance and repair
Customer service orientated
Employee hiring & training
Computer proficiency,
Concept, Cost Control, costing, customer satisfaction, Customer service, equipment maintenance and repair, Financial management, Food
Safety, forth, hiring, inventory levels, inventory, inventory control, personnel, pricing, processes, procurement, purchasing, quality, receiving,
restaurant operations, safety","Associate of Science
 
: 
Culinary Arts
 
Johnson & Wales University
 
- 
City
 
, 
State
 
Summary
Skilled, creative, dedicated Executive Chef/Chef Manager with extensive culinary"
CHEF,data/CHEF/12254068.pdf,HEALTH CARE ADMINISTRATOR,"advertising, agency, balance, benefits, budget, consultant, creativity, address customer complaints, client, customer satisfaction, customer service","and Training
Bachelor of Science
 
: 
Risk and Benefits Management
 
, 
1985
 
The University of Alabama"
CHEF,data/CHEF/37231163.pdf,SOUS CHEF,.,"includes a range of certifications for
handling food, catering style, slope work, and food plating. Admirable"
CHEF,data/CHEF/91072502.pdf,PREMIUM CLUB CHEF,"Skillful kitchen staff trainer
International culinary skills
Strong customer relationship builder
Core","Associate of Occupational Studies
 
: 
Culinary Arts
 
1991
 
The Culinary Institute of America
 
City
 
, 
State
Culinary Arts"
CHEF,data/CHEF/24221960.pdf,CHEF,"Computer Skills Customer Service Skills Leadership Skills Organizational Skills Research and
Planning Skills Interpersonal Skills Safety-oriented Neat, clean and professional appearance Comfortable standing for long time periods Shipping
and receiving skills Reliable and punctual","Associate of Science
 
: 
Medical Coder and Billing
 
, 
2015
 
Santa Fe College
 
- 
City
 
, 
State
 
, 
United States of America
Medical Coder and Billing. Health Information Management. 
3.7 GPA. Earning my certification.
High School Diploma
 
: 
General
 
, 
2011
 
Buchholz High School
 
- 
City
 
, 
State
 
, 
Alachua
Obtained my High school diploma in 2011."
CHEF,data/CHEF/33964275.pdf,CO-OWNER/MANAGER/ CHEF,". Strategic Marketing and Communications Consultant with a firm grasp of corporate messaging and branding. Possesses
a strong work ethic, as well as exceptional writing, editing and research skills. 
[Job Title]
 
with strengths in special events and promotion planning.
Frequently attends marketing seminars and conducts outside research to stay current with market trends and consumer needs.
Skills","Northern Arizona University
 
1987
 
Bachelor of Science
 
: 
Communications Broadcast Journalism
Telecommunications Emphasis Broadcast Journalism Political Science
Minor in 
[Name of minor]
Political Science
Member of 
[Club Name]
 
Club
Recipient of 
[Scholarship Name]
 
Scholarship
Continuing education in 
[Topic]"
CHEF,data/CHEF/20691949.pdf,A LA CARTE CHEF/ CHEF DE CUISINE,".
800-1100 covers in 3 hours
Company Name
 
12/2009
 
to 
05/2014
Merion Cricket Club, Haverford, PA, Junior Sous Chef
Viking Culinary Center, Haverford, PA, Chef/Instructor
Cloud Catering and Events, NYC, NY, Cook
The Black Rat, Winchester, England, Stage
Craigie on Main, Cambridge, MA, Stage
Four Seasons Resort: Aviara, Carlsbad, CA, Intern","2009
 
Culinary Institute of America
 
, 
City
 
, 
State
Bachelors of Professional Studies
 , 
Culinary Arts and Restaurant Management
 . Assisted with numerous
 
school-sponsored catering
events
 
for up to 450 people. Member of the Inter-collegiate 
soccer team
 
four years, serving as 
captain
 
one year. Kitchen assistant for saturday
morning, 15 person Adult Education classes. Residence Assistant, 2 1/2 years"
CHEF,data/CHEF/28176889.pdf,FOOD SERVER,"Cash handling, Professional and friendly, 
Careful and active listener, Data Entry.","and Training
May 1982
McEachern HS
 
City
 
, 
State
 
High School Diploma
 
: 
Business
Business
Community Service Volunteer, Girl Scouts 2012-2013
Work"
CHEF,data/CHEF/29211359.pdf,ROOM CHEF,"Team player
Conflict resolution
Skilled multi-tasker
Excellent judgment
Adaptable
Organized
Fast learner
Staff training and development
Data management
POS systems
Scheduling","Associate of Science
 
: 
Culinary Arts
 
, 
2008
 
The Culinary Institute of America
 
ï¼​ 
City
 
, 
State
 
, 
US
Coursework in Hospitality and Tourism ManagementHotel and Restaurant Administration coursework
Voted Group Leader of graduating class.
Personal Information"
CHEF,data/CHEF/25452321.pdf,HOUSEKEEPER,Work,"and Training
Wiscasset High
 
1985
 
High School Diploma
 
: 
Business
 
City
 
, 
State
 
, 
USA
 
I graduated high school, didn't expand my education through school but had a lot of hands on training. I learned all my cooking"
CHEF,data/CHEF/10276858.pdf,FOOD PREP CHEF,"Highly skilled in cooking and preparing a variety of cuisines
Inborn ability to explore new cooking avenues
Thorough understanding of sanitation needs of the kitchen
Operate kitchen equipment such as ovens and grills for cooking purposes
Maintain knowledge of all recipes so that the Head Chef's place can be filled in effectively in case of absenteeism
Summary
Exceptional culinary insight.
Knowledge of standard food preparation
Ability to work in a high volume environment
Chef in preparing exceptional meals
Motivated food serving professional with 5+ years food and beverage","2011
William M Davies Career & Tech
 
ï¼​ 
City
 
, 
State
 
, 
USA
 
High School Diploma
 
: 
Culinary/ Auto Body
Courses in Hospitality and Restaurant Management
Classes in Restaurant and Facility Operations
Basic Vocational : Prep Cook
Courses in: Food Preparation, Kitchen Management,Patisserie and Confectionery, International Cuisine"
CHEF,data/CHEF/19268120.pdf,Summary,".I am also a
Motivated chef with 5+ years","GED
 
:
 
Culinary arts
 
1996
 
Lyndon B Johnson 
, 
City
 
, 
State
 
, 
USA
graduated with my GED and my culinary certificate as a station cook
Associate of Applied Science
 
:
 
Culinary arts
 
1999
 
Lincoln college
 
, 
City
 
, 
State
 
, 
USA
Graduated in top 5 of class
Courses in Hospitality and Restaurant Management
Basic Vocational Certificate: Prep Cook
Nutrition courses
Classes in Restaurant and Facility Operations
Coursework in Food and Beverage Operations
serve safe management
Certifications
Serve safe
AA in applied science
Station cook certificate
Four dietary certificate"
CHEF,data/CHEF/14569498.pdf,CHEF OWNER,". 
Excel in creating quality cuisine within budgetary cost controls. 
Flexible, with the ability to achieve in both first-
class fine dining and high volume operations. 
Develop and motive a highly productive team. 
Received professional training from five Certified
Master
Skill","1994
Los Angeles Culinary Instituted
 
ï¼​ 
City
 
, 
State
 
, 
u.s.a
 
Associate of Arts
 
: 
Culinary ArtsCourses in Hospitality and Restaurant Management"
CHEF,data/CHEF/47317494.pdf,ASSISTANT CHEF,"budgeting, clients, data entry, Fluent in English, financial, conversational French, Access, Excel, PowerPoint, Microsoft Word, Spanish","Bachelor of Science
 
, 
Finance 
CPA Eligible Business
 
June 2017
 
Portland State University
 
ï¼​ 
City
 
, 
State
 
GPA: 
GPA: 3.84 GPA: 3.66
 
Finance
CPA Eligible GPA: 3.84 GPA: 3.66 Business
Associate of Science
 
December 2014
 
Portland Community College
 
ï¼​ 
City
 
, 
State
 
GPA: 
GPA: 3.89 President's List
 
GPA: 3.89 President's List"
CHEF,data/CHEF/20033302.pdf,BUSINESS MANAGER,"administrative, Arabic, contracts, Customer Relationship Management, Client, customer satisfaction, delivery, energy 
efficient, English, food safety,
French, hiring, inspection, inventory management, managerial, marketing, market, Access, Excel (spreadsheets, Outlook, PowerPoint, 98,
Microsoft Word, payroll, pivot tables, policies, product development, profit, quality, QuickBooks, safety, sales, sales 
reports, Search EngineOptimization, servers, shipping, staffing, strategic, tax, tax preparer, tax returns, training programs, written","Bachelor of Science
 
: 
Business Management
 
Saint Joseph University
 
Business Management Magna Cum Laude
Summary
Analytical 
and 
solutionsoriented 
manager 
with 
15 
years"
CHEF,data/CHEF/10333299.pdf,GENERAL MANAGER / EXECUTIVE CHEF,"to establish positive relationships with guests and employees.
March 2009
 
to 
October 2009
Company Name
 
City
 
, 
State
 
Swing Manager
Scheduled and directed staff in daily work assignments to maximize productivity.Efficiently resolved problems or concerns to the satisfaction
of all involved parties.Continually monitored restaurant and took appropriate action to ensure food quality and service standards were
consistently met.Assigned tasks and oversaw the direction of employees to ensure compliance with food safety procedures and quality
control guidelines.","1988
GED
 
City
 
, 
State
 
, 
United States
 
GED
I grew up in Guadalajara, Mexico and attended home school taught by my mother. 
I later received my GED. I also have the following training.
Basic Vocational Certificate: Restaurant Operations
Basic Vocational Certificate: Culinary Management
Coursework in Business, Restaurant and Hotel Management
."
CHEF,data/CHEF/92985983.pdf,EXECUTIVE CHEF,to continuously improve operational quality and efficiency.,"Associate of Occupational Science Degree
 
: 
Culinary
 
Le Cordon Bleu College of Culinary Arts Atlanta
 
ï¼​ 
City
 
, 
State
 
, 
United States
Nutrition courses
Coursework in Pastry Arts
Classes in Restaurant and Facility Operations"
CHEF,data/CHEF/91591026.pdf,EXECUTIVE CHEF,,"M.S
 
: 
Hospitality Management
 
, 
Wing Luke University, Shanghai Province, Peoples Republic of China
 
- 
Hospitality Management
B.P.S
 
: 
Culinary Management
 
, 
Culinary Management"
CHEF,data/CHEF/51554903.pdf,EXECUTIVE CHEF,". High-energy, results-oriented
leader with an entrepreneurial attitude.
Skill","Associate of Arts
 
, 
Culinary Arts
 
Feb 2001
 
California Culinary Academy
 
- 
City
 
, 
State
High School Diploma
 
, 
Culinary Arts
 
Feb 1999
 
Metro Tech 
- 
City
 
, 
State
 
, 
Maricopa
Mentorship
 
, 
Tourism
 
1999
 
Phoenix Convention & Visitors bureau
 
- 
City
 
, 
State
 
, 
maricopa
one year mentorship in tourism"
CHEF,data/CHEF/21904897.pdf,CHEF,"utilized.
Ordered all food and beverage for on premise.
Scheduled all back of house staff.
Led shifts while personally preparing and executing food items for diners.
Accepted all deliveries to the kitchen and front of the house.
Able to keep up with multiple tasks in this face paced environment.
Knowledge of Health and Safety regulations required by the state of Vermont.","High School Diploma
 
Brentwood High School
 
ï¼​ 
City
 
, 
State"
CHEF,data/CHEF/24673903.pdf,CHEF,"Active listening skills
Sharp problem solver
Energetic work attitude
Inventory control familiarity
Customer service expert","al Background
MCLA
 
1984
 
Bachelors
 
: 
Business
 
City
 
, 
State
 
GPA: 
Summa Cum Laude
 
Business Summa Cum Laude"
CHEF,data/CHEF/16594812.pdf,CHEF,"credit, clients, personnel, sales reports, tables","and Training
Grantham University Online College
 
Present
 
Associates
 
: 
Applied Science-Medical Billing and Coding
 
Applied Science-Medical Billing and
Coding
California Culinary Academy
 
March 2006
 
Certification in Baking and Pastry
 
City
 
, 
State
Walla Walla High School
 
June 2005
 
High School Diploma
 
City
 
, 
State"
CHEF,data/CHEF/74522938.pdf,EXECUTIVE CHEF,". Works well as a dynamic leader in high-
pressure settings. 
Bilingual ChefÂ with 
20Â 
 years in cooking, hiring and training staff, creating schedules and managing labor costs. 
Executive Chef possessing an innate skill in creating exceptional menu items. Leads productive working environments that attract top-notch talent.
Skills
American/French classicÂ 
 cooking
technique
Beautiful presentation of food
Mexican/AmericanÂ 
 cuisine expert
Effective planner
Extensive catering background
Food presentation talent
Employed at 
CAMPEON
 , featured in 
Village Voice
 ""Critics' Picks"" column.
Employed at 
LOLITA/REDLULU
 , featured in 
The New York TimesÂ 
 Critics' Picks""
column. Two Stars","al seminars with front of the house employees.
Purchased food items and various products for the operation of the restaurant.
Reduced food costs by 
28
 Â percent by using seasonal ingredients, setting standards for portion size and minimizing waste.
Managed kitchen staff by recruiting, selecting, hiring, orienting, training, assigning, scheduling, supervising, evaluating and enforcing discipline
when necessary.
Maintained updated knowledge of local competition and restaurant industry trends.
Developed menus, pricing and special food offerings to increase revenue and customer satisfaction.
Instructed new staff in proper food preparation, food storage, use of kitchen equipment and utensils, sanitation and safety issues.
Actively involved in cost control, sanitation, menu development, training, recruitment, private dining and catering.
Ensured all staff understood expectations and parameters of kitchen goals and daily kitchen work.
Achieved and exceeded performance, budget and team goals.
Inspected kitchens to observe food preparation quality and service, food appearance and cleanliness of production and service areas.
Created and managed budgets for operations and capital equipment.
Prepared operational reports and analyses and made appropriate recommendations about progress and negative trends.
Planned lunch, dinner and bar menus, as well as special menus for in-house special events and catering.
Properly labeled and stored all raw food ingredients including produce, meat, fish, poultry, dairy and dry goods in the appropriate storage
room, walk-in refrigerator, freezer or cooler.
Executive Sous Chef
 
10/2012
 
to 
11/2013
 
Company Name
 
â€“ 
City
 
, 
State
 
Responsible for receiving purchases, checked schedules and opening of the kitchen restaurant.
Catered large corporate events, fashion/restaurant weeks and the holiday season.
Responsible for maintaining cleanliness and order in the absence of the executive chef.
Conducted proper pre-meals and other educational seminars with front of the house employees.
Responsible for running the restaurant when the Executive chef went on vacation.
Prepared food items consistently and in compliance with recipes, portioning, cooking and waste control guidelines.
Promptly reported any maintenance and repair issues throughout our service log.
Expertly managed 40Â staff and maintained appropriate staffing levels throughout shifts.
Executive Chef
 
05/2009
 
to 
08/2012
 
Company Name
 
â€“ 
City
 
, 
State
 
Created charts for cleaning efficiency, food and labor controls.
Created detail recipes and standards for menus and specials.
Managed BOH operations at both restaurants in Connecticut.Reduced food costs by 
28
 Â percent by using seasonal ingredients, setting standards for portion size and minimizing waste.
Managed kitchen staff by recruiting, selecting, hiring, orienting, training, assigning, scheduling, supervising, evaluating and enforcing discipline
when necessary.
Maintained a skilled kitchen staff by properly coaching, counseling and disciplining employees.
Maintained a skilled kitchen staff by properly coaching, counseling and disciplining employees.
Developed menus, pricing and special food offerings to increase revenue and customer satisfaction.
Actively involved in cost control, sanitation, menu development, training, recruitment, private dining and catering.
Practiced safe food handling procedures at all times.
Successfully reduced the restaurant's annual food and labor costs by 
[number]
 
% through proper budgeting, scheduling and management of
inventory.
Working Chef
 
01/2007
 
to 
01/2009
 
Company Name
 
â€“ 
City
 
, 
State
 
An exclusive 100-seat nightclub serving a French/American modern global Tapas menu.
Developed new menu design, recipes and plate presentations.
Overhauled food and labor controls for better efficiency.
Responsible for food and beverage inventory, purchases and controls.
Verified proper portion sizes and consistently attained high food quality standards.
Maintained a skilled kitchen staff by properly coaching, counseling and disciplining employees.
Actively involved in cost control, sanitation, menu development, training, recruitment, private dining and catering.
Lead Line Cook/Sous Chef
 
01/1992
 
to 
01/2007
 
Company Name
 
â€“ 
City
 
, 
State
 
Prepared food items consistently and in compliance with recipes, portioning, cooking and waste control guidelines.
Managed kitchen staff by recruiting, selecting, hiring, orienting, training, assigning, scheduling, supervising, evaluating and enforcing discipline
when necessary.
Verified proper portion sizes and consistently attained high food quality standards.
Maintained a skilled kitchen staff by properly coaching, counseling and disciplining employees.
Instructed new staff in proper food preparation, food storage, use of kitchen equipment and utensils, sanitation and safety issues.
Led shifts while personally preparing food items and executing requests based on required specifications.
Achieved and exceeded performance, budget and team goals.
Maintained smooth and timely operations in preparation and delivery of meals and kitchen sanitation.
Properly labeled and stored all raw food ingredients including produce, meat, fish, poultry, dairy and dry goods in the appropriate storage
room, walk-in refrigerator, freezer or cooler.
Practiced safe food handling procedures at all times.
Education
Bachelor of Arts
 
: 
Philosophy
 
2001
 
City College of New York
 
- 
City
 
, 
State
Philosophy
Member of PhilosophyÂ Club
Received halfÂ Scholarship for a Master Degree.
Certifications
NYC Qualifying Certificate in Food Protection # 07-06676 Serv-Safe Certification # 6561937"
CHEF,data/CHEF/14663897.pdf,CHEF,and the ability to get things done overcoming any obstacles.Â,"and Training
High School Diploma
 
Jun 1991
 
Newington High School
 
ï¼​ 
City
 
, 
State
Summary
Passionate Chef with broad background in various culinary styles and positions. A natural leader with excellent interpersonal communication"
CHEF,data/CHEF/28424982.pdf,EXECUTIVE CHEF,"Special dietary needs expert
Adaptable
Staff development talent
Core","Associate of Occupational Studies
 
: 
Culinary Arts
 
1991
 
The Culinary Institute of America
 
City
 
, 
State
 
Culinary Arts"
CHEF,data/CHEF/91268638.pdf,EVENT LEAD / PREP COOK / ASSISTANT PASTRY CHEF,"Attention to detail, budget, cooking, baking, customer satisfaction, delivery, special events, hiring, packaging, policies, pricing, producing, proofing,
quality, recruiting, safety, scheduling, and supervising.","High School Diploma
 
Thomas Edison Senior High School
 
- 
City
 
, 
State
San Joaquin Delta Community College
 
- 
City
 
, 
State"
CHEF,data/CHEF/23398733.pdf,TUTOR,"computer systems, organized, self starter, grammar, communicates well
â€‹","and Training
July 2016
Career Step Professional Medical Coding and Billing Program
 
City
 
, 
State
 
Certificate of Graduation with Honors *Inpatient and Outpatient coding
*Medical Terminology *Anatomy & Pathophysiology
Professional Affiliations
American Academy of Professional Coders (AAPC) -Member 
CPC-A (7/23/2016)
American Health Information Management Association (AHIMA)-Member
Professional"
CHEF,data/CHEF/15354126.pdf,OWNER/CHEF,"and expertise to prepare a special variety of dishes in a professional, rewarding environment.","Associate of Occupational Science
 
6/2008
 
Le Cordon Blue College of Arts
 
City
 
, 
State
Certificate 
ServSafe, Allergen Computer Skill 
Microsoft word, Power Point, and Excel"
CHEF,data/CHEF/12155206.pdf,KINDERGARTEN TEACHER,"to a growing company in need of top-level support.
High-performing Administrative Assistant with extensive","MASTERS OF EDUCATION IN
 
:
 
ELEMENTARY EDUCATION
 
2008
 
Rivier University
 
, 
City
 
, 
State
 
, 
USA
â€‹
 NH Elementary Educator Certificate K-8 (1811
 ) Current through 
6/2017
 ; 
PRAXIS I & IIÂ  
April 2006, Sept. 2007
BACHELOR OF SCIENCE
 
:
 
BUSINESS MANAGEMENT
 
1987
 
Rivier University
 
, 
City
 
, 
State
 
, 
USA
ASSOCIATE OF SCIENCE
 
:
 
ADMINISTRATIVE SECRETARIAL MANAGEMENT
 
1982
 
Nashua Community College
 
, 
City
 
, 
State
 
, 
USA
Non-Degree Program
 
:
 
INTEL MATH I & II
 
2012
 
Plymouth University/UNH Manchester
 
, 
City
 
, 
State
 
, 
USA
 
Â Earned 6 Graduate Credits, 80
hours of Content-intensive professional development and learning strategies regarding K-8 core mathematic concepts.
Professional Affiliations
NASHUA GARDEN CLUB,Â Â  2004-PresentMEDIC ALERT COMMUNITY AMBASSADOR,Â Â  2005-2010
Â Â Â Â â€‹Organized & distributed MedicAlert collateral to surrounding medicalÂ community.
CHARLOTTE AVENUE ELEMENTARY SCHOOL CLASSROOM & PTO VOLUNTEERÂ  1996-2008
Â Room mom,Â Reading & math groups,Â chaperone,Â baker, Hospitality & Garden Club, Ski & Chess Club"
